Time,online user,Ave response time
2022-08-16T20:59:15+04:30,5,34.3540752
2022-08-16T20:59:30+04:30,5,34.00795707
2022-08-16T20:59:45+04:30,5,34.00795707
2022-08-16T21:00:00+04:30,5,33.67298233
2022-08-16T21:00:15+04:30,5,33.67298233
2022-08-16T21:00:30+04:30,5,33.51295997
2022-08-16T21:00:45+04:30,5,33.35632452
2022-08-16T21:01:00+04:30,5,33.20072654
2022-08-16T21:01:15+04:30,5,33.04411028
2022-08-16T21:01:30+04:30,5,33.14411028
