online user,# Spark workers,number of VMs,size of data,Amount of memory of workers,# cores of workers,total memory of VMs/local machine,#cores of VMs,think time,type of ML task,on-prem,Ave response time
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.860702927
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.870542014
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.888741892
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.896056053
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.912183074
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.917223325
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.930030487
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.936470378
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.948740853
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.954093051
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.964180579
15,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.967126704
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.985125051
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.995488709
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.015804089
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.02699842
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.047671048
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.056117333
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.071738172
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.079533991
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.096079096
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.105906588
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.119401216
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.125785613
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.136501854
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.141288241
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.152153613
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.158535053
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.168392518
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.173924795
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.183604365
20,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.187620274
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.182188149
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.176454112
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.165971507
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.160446166
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.149777577
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.144718007
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.134589253
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.129274158
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.119341516
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.115141813
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.106026206
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.101525376
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.092040856
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.087662796
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.07914134
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.075073159
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.067190756
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.062988956
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.055040581
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.051288157
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.046608909
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.044877643
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.043286239
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.042310491
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.040539796
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.039282694
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.036468666
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.035092321
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.031649004
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.030463293
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.027516125
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.026335684
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.023559044
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.022143007
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.01877103
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.017391951
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.014574354
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.012945222
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.010427044
10,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.008705072
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.003883056
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,1.00125034
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.996361232
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.993912203
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.989092339
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.98671935
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.981999271
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.979686336
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.975138708
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.972833258
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.96843267
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.966299845
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.962222334
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.959938783
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.95595191
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.953624967
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.949612963
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.9476771
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.94401465
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.942386125
5,1,1,100 KB,14 GB,4,64 GB,16,0,feature selection,0,0.94107582
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,3.941712626
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,1.421439269
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,1.165633238
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.960812717
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.90145717
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.824505307
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.794823037
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.756175567
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.743667935
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.723984063
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.714308689
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.699538504
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.694005626
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.679994417
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.673260905
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.661790412
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.655756294
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.647923358
5,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.64450151
15,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.67910796
15,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.701397717
15,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.741563649
15,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.75822963
15,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.78673185
15,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.802106565
15,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.828211007
15,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.840031645
15,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.861188207
15,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.871729306
15,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.888615935
15,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.896344187
15,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.909257399
15,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.916085817
15,2,1,100 KB,28 GB,8,64 GB,16,0,feature selection,0,0.927486403
