Time,online user,Ave response time
2022-08-19T02:29:00+04:30,10,100.1594855
2022-08-19T02:29:15+04:30,10,100.1594855
2022-08-19T02:29:30+04:30,10,100.1594855
2022-08-19T02:29:45+04:30,5,98.72553666
2022-08-19T02:30:00+04:30,5,98.72553666
2022-08-19T02:30:15+04:30,5,98.72553666
2022-08-19T02:30:30+04:30,5,97.37513925
2022-08-19T02:30:45+04:30,5,97.37513925
2022-08-19T02:31:00+04:30,5,97.37513925
2022-08-19T02:31:15+04:30,5,96.09286251
2022-08-19T02:31:30+04:30,5,96.09286251
2022-08-19T02:31:45+04:30,5,96.09286251
2022-08-19T02:32:00+04:30,5,94.87272214
2022-08-19T02:32:15+04:30,5,94.87272214
2022-08-19T02:32:30+04:30,5,94.87272214
2022-08-19T02:32:45+04:30,5,93.70978085
2022-08-19T02:33:00+04:30,5,93.70978085
2022-08-19T02:33:15+04:30,5,93.70978085
2022-08-19T02:33:30+04:30,5,92.5919234
2022-08-19T02:33:45+04:30,5,92.5919234
2022-08-19T02:34:00+04:30,5,92.5919234
2022-08-19T02:34:15+04:30,5,91.5205979
